"Timestamp","RuleTitle","Level","Computer","Channel","EventID","MitreTactics","MitreTags","OtherTags","RecordID","Details","ExtraFieldInfo","RuleFile","RuleID","EvtxFile"
"2025-12-22 14:05:07.387 +01:00","File Created","info","DESKTOP-G2OBL3D","Sysmon",11,"","","sysmon",166674,"Path: C:\Users\student\AppData\Local\Temp\__PSScriptPolicyTest_slyrzu1x.vyr.ps1 ¦ Proc: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe ¦ PID: 6628 ¦ PGUID: E9F06A57-4203-6949-9105-000000002100","CreationUtcTime: 2025-12-22 13:05:07.383 ¦ RuleName: - ¦ User: DESKTOP-G2OBL3D\student ¦ UtcTime: 2025-12-22 13:05:07.383","Sysmon_11_Info_FileCreated.yml","8a76bcd8-dec2-4c8a-995d-a4600aad8fe2","C:\Tools\Logs\art_1562_004.evtx"
"2025-12-22 14:05:08.176 +01:00","File Created","info","DESKTOP-G2OBL3D","Sysmon",11,"","","sysmon",166677,"Path: C:\Users\student\AppData\Local\Temp\__PSScriptPolicyTest_zyba51kr.brt.ps1 ¦ Proc: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe ¦ PID: 6488 ¦ PGUID: E9F06A57-4204-6949-9405-000000002100","CreationUtcTime: 2025-12-22 13:05:08.170 ¦ RuleName: - ¦ User: DESKTOP-G2OBL3D\student ¦ UtcTime: 2025-12-22 13:05:08.170","Sysmon_11_Info_FileCreated.yml","8a76bcd8-dec2-4c8a-995d-a4600aad8fe2","C:\Tools\Logs\art_1562_004.evtx"
"2025-12-22 14:05:09.179 +01:00","File Created","info","DESKTOP-G2OBL3D","Sysmon",11,"","","sysmon",166686,"Path: C:\Users\student\AppData\Local\Temp\__PSScriptPolicyTest_ozkksdfa.vqm.ps1 ¦ Proc: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe ¦ PID: 6368 ¦ PGUID: E9F06A57-4205-6949-9B05-000000002100","CreationUtcTime: 2025-12-22 13:05:09.173 ¦ RuleName: - ¦ User: DESKTOP-G2OBL3D\student ¦ UtcTime: 2025-12-22 13:05:09.173","Sysmon_11_Info_FileCreated.yml","8a76bcd8-dec2-4c8a-995d-a4600aad8fe2","C:\Tools\Logs\art_1562_004.evtx"
"2025-12-22 14:05:29.164 +01:00","File Created","info","DESKTOP-G2OBL3D","Sysmon",11,"","","sysmon",166696,"Path: C:\Users\student\AppData\Local\Temp\__PSScriptPolicyTest_amsupqnv.o0p.ps1 ¦ Proc: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe ¦ PID: 5600 ¦ PGUID: E9F06A57-4219-6949-A405-000000002100","CreationUtcTime: 2025-12-22 13:05:29.150 ¦ RuleName: - ¦ User: DESKTOP-G2OBL3D\student ¦ UtcTime: 2025-12-22 13:05:29.150","Sysmon_11_Info_FileCreated.yml","8a76bcd8-dec2-4c8a-995d-a4600aad8fe2","C:\Tools\Logs\art_1562_004.evtx"
"2025-12-22 14:05:08.370 +01:00","File Created (Sysmon Alert)","med","DESKTOP-G2OBL3D","Sysmon",11,"","","sysmon",166678,"Rule: EXE ¦ Path: C:\Users\student\AtomicTest.exe ¦ Proc: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe ¦ PID: 6488 ¦ PGUID: E9F06A57-4204-6949-9405-000000002100","CreationUtcTime: 2025-12-22 13:05:08.370 ¦ User: DESKTOP-G2OBL3D\student ¦ UtcTime: 2025-12-22 13:05:08.370","Sysmon_11_Med_FileCreated_RuleAlert.yml","c5e6b545-73a4-4650-ae97-67c239005382","C:\Tools\Logs\art_1562_004.evtx"
"2025-12-22 14:05:02.356 +01:00","Reg Key Value Set (Sysmon Alert)","med","DESKTOP-G2OBL3D","Sysmon",13,"","","sysmon",166660,"Rule: T1089 ¦ EventType: SetValue ¦ TgtObj: HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile\EnableFirewall ¦ DWORD (0x00000000) ¦ Proc: C:\WINDOWS\system32\svchost.exe ¦ PID: 1628 ¦ PGUID: E9F06A57-0DF8-6949-1F00-000000002100","User: NT AUTHORITY\LOCAL SERVICE ¦ UtcTime: 2025-12-22 13:05:02.354","Sysmon_13_RegKeyValueSet_RuleAlert.yml","78431930-a5c6-46ae-b02c-fcdc2a7325c2","C:\Tools\Logs\art_1562_004.evtx"
"2025-12-22 14:05:02.846 +01:00","Reg Key Value Set (Sysmon Alert)","med","DESKTOP-G2OBL3D","Sysmon",13,"","","sysmon",166663,"Rule: T1031,T1050 ¦ EventType: SetValue ¦ TgtObj: HKLM\System\CurrentControlSet\Services\IKEEXT\Start ¦ DWORD (0x00000002) ¦ Proc: C:\WINDOWS\system32\services.exe ¦ PID: 780 ¦ PGUID: E9F06A57-0DF5-6949-0B00-000000002100","User: NT AUTHORITY\SYSTEM ¦ UtcTime: 2025-12-22 13:05:02.839","Sysmon_13_RegKeyValueSet_RuleAlert.yml","78431930-a5c6-46ae-b02c-fcdc2a7325c2","C:\Tools\Logs\art_1562_004.evtx"
"2025-12-22 14:05:03.062 +01:00","Reg Key Value Set (Sysmon Alert)","med","DESKTOP-G2OBL3D","Sysmon",13,"","","sysmon",166664,"Rule: Suspicious,ImageBeginWithBackslash ¦ EventType: SetValue ¦ TgtObj: HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Notifications\Data\418A073AA3BC1C75 ¦ Binary Data ¦ Proc: \\?\C:\Windows\System32\SecurityHealth\10.0.29429.1000-0\SecurityHealthHost.exe ¦ PID: 10052 ¦ PGUID: E9F06A57-41FE-6949-8505-000000002100","User: DESKTOP-G2OBL3D\student ¦ UtcTime: 2025-12-22 13:05:03.055","Sysmon_13_RegKeyValueSet_RuleAlert.yml","78431930-a5c6-46ae-b02c-fcdc2a7325c2","C:\Tools\Logs\art_1562_004.evtx"
"2025-12-22 14:05:04.375 +01:00","Reg Key Value Set (Sysmon Alert)","med","DESKTOP-G2OBL3D","Sysmon",13,"","","sysmon",166667,"Rule: T1089 ¦ EventType: SetValue ¦ TgtObj: HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile\EnableFirewall ¦ DWORD (0x00000000) ¦ Proc: C:\WINDOWS\system32\reg.exe ¦ PID: 2804 ¦ PGUID: E9F06A57-4200-6949-8905-000000002100","User: DESKTOP-G2OBL3D\student ¦ UtcTime: 2025-12-22 13:05:04.373","Sysmon_13_RegKeyValueSet_RuleAlert.yml","78431930-a5c6-46ae-b02c-fcdc2a7325c2","C:\Tools\Logs\art_1562_004.evtx"
"2025-12-22 14:05:08.833 +01:00","Reg Key Value Set (Sysmon Alert)","med","DESKTOP-G2OBL3D","Sysmon",13,"","","sysmon",166682,"Rule: T1089 ¦ EventType: SetValue ¦ TgtObj: HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\EnableFirewall ¦ DWORD (0x00000000) ¦ Proc: C:\WINDOWS\system32\reg.exe ¦ PID: 3472 ¦ PGUID: E9F06A57-4204-6949-9905-000000002100","User: DESKTOP-G2OBL3D\student ¦ UtcTime: 2025-12-22 13:05:08.832","Sysmon_13_RegKeyValueSet_RuleAlert.yml","78431930-a5c6-46ae-b02c-fcdc2a7325c2","C:\Tools\Logs\art_1562_004.evtx"
